 codigo_orgao_superior;                       nome_orgao_superior                       ; codigo_orgao_solicitante;                                            nome_orgao_solicitante                                             ; numero_pcdp  ; localizador; data_emissao; data_embarque; valor_tarifa_comercial; percentual_desconto_aplicado; valor_tarifa_governo; valor_tarifa_embarque; valor_bilhete;        companhia_aerea         ; classe_tarifaria;                                       regra_tarifaria                                       ; emissao; no_show; remarcado; cancelado; valor_multas; valor_reembolso; diferenca_tarifa; situacao_bilhete
26; Presidência da República                                        ;1949; Gabinete Pessoal do Presidente da República                                                                   ; 000999/24    ; HWKELG      ; 03/06/2024   ; 06/06/2024    ;                2091.90;                         3.00;              2029.14;                 29.51;       2058.65; LATAM AIRLINES BRASIL          ; M                ;                                                                                             ; Sim     ; Não     ; Não       ; Não       ;         0.00;            0.00;             0.00; Voado
26; Presidência da República                                        ;1949; Gabinete Pessoal do Presidente da República                                                                   ; 001000/24    ; WRVGPC      ; 05/06/2024   ; 08/06/2024    ;                2074.90;                         3.00;              2012.65;                 54.20;       2066.85; LATAM AIRLINES BRASIL          ; M                ;                                                                                             ; Sim     ; Não     ; Não       ; Não       ;         0.00;            0.00;             0.00; Voado
26; Presidência da República                                        ;1949; Gabinete Pessoal do Presidente da República                                                                   ; 001039/24    ; GMGWIA      ; 07/06/2024   ; 10/06/2024    ;                2681.90;                         3.00;              2601.44;                 29.51;       2630.95; GOL Linhas Aéreas Inteligentes; T                ; https://www.voegol.com.br/pt/informacoes/tarifas                                            ; Sim     ; Não     ; Não       ; Não       ;         0.00;            0.00;             0.00; Voado
26; Presidência da República                                        ;1949; Gabinete Pessoal do Presidente da República                                                                   ; 001040/24    ; JZPYFR      ; 07/06/2024   ; 10/06/2024    ;                2681.90;                         3.00;              2601.44;                 29.51;       2630.95; GOL Linhas Aéreas Inteligentes; T                ; https://www.voegol.com.br/pt/informacoes/tarifas                                            ; Sim     ; Não     ; Não       ; Não       ;         0.00;            0.00;             0.00; Voado
26; Presidência da República                                        ;1949; Gabinete Pessoal do Presidente da República                                                                   ; 001041/24    ; GEINVT      ; 07/06/2024   ; 10/06/2024    ;                2681.90;                         3.00;              2601.44;                 29.51;       2630.95; GOL Linhas Aéreas Inteligentes; T                ; https://www.voegol.com.br/pt/informacoes/tarifas                                            ; Sim     ; Não     ; Não       ; Não       ;         0.00;            0.00;             0.00; Voado
26; Presidência da República                                        ;1949; Gabinete Pessoal do Presidente da República                                                                   ; 001042/24    ; IINRTU      ; 07/06/2024   ; 10/06/2024    ;                2681.90;                         3.00;              2601.44;                 29.51;       2630.95; GOL Linhas Aéreas Inteligentes; T                ; https://www.voegol.com.br/pt/informacoes/tarifas                                            ; Sim     ; Não     ; Não       ; Não       ;         0.00;            0.00;             0.00; Voado
26; Presidência da República                                        ;1949; Gabinete Pessoal do Presidente da República                                                                   ; 001043/24    ; GDGMAC      ; 07/06/2024   ; 10/06/2024    ;                2681.90;                         3.00;              2601.44;                 29.51;       2630.95; GOL Linhas Aéreas Inteligentes; T                ; https://www.voegol.com.br/pt/informacoes/tarifas                                            ; Sim     ; Não     ; Não       ; Não       ;         0.00;            0.00;             0.00; Voado
26; Presidência da República                                        ;1949; Gabinete Pessoal do Presidente da República                                                                   ; 001044/24    ; KQZKNG      ; 07/06/2024   ; 10/06/2024    ;                2681.90;                         3.00;              2601.44;                 29.51;       2630.95; GOL Linhas Aéreas Inteligentes; T                ; https://www.voegol.com.br/pt/informacoes/tarifas                                            ; Sim     ; Não     ; Não       ; Não       ;         0.00;            0.00;             0.00; Voado
26; Presidência da República                                        ;1949; Gabinete Pessoal do Presidente da República                                                                   ; 001045/24    ; JYZEPC      ; 07/06/2024   ; 10/06/2024    ;                2681.90;                         3.00;              2601.44;                 29.51;       2630.95; GOL Linhas Aéreas Inteligentes; T                ; https://www.voegol.com.br/pt/informacoes/tarifas                                            ; Sim     ; Não     ; Não       ; Não       ;         0.00;            0.00;             0.00; Voado
26; Presidência da República                                        ;1949; Gabinete Pessoal do Presidente da República                                                                   ; 001075/24    ; NNJSIO      ; 11/06/2024   ; 11/06/2024    ;                2681.90;                         3.00;              2601.44;                 29.51;       2630.95; GOL Linhas Aéreas Inteligentes; T                ; https://www.voegol.com.br/pt/informacoes/tarifas                                            ; Sim     ; Não     ; Não       ; Não       ;         0.00;            0.00;             0.00; Voado
